Video ID,Title,Channel,Published At
ktnR9tFHFpE,BUNDESTAGSWAHL: Das denken Israelis über die AfD in Deutschland! &quot;Bedrohung aber kann etwas ändern!&quot;,WELT Nachrichtensender,2025-02-17T15:01:07Z
nHzXKJlYwCs,🤡 #afd #wahlen #nachrichten #politik #fpö #elonmusk #deutschland #aliceweidel #ampel #wahrheit,Adlers Anstalt,2025-01-12T12:02:00Z
tk2cePkrkCw,"&quot;Wir haben einen Regierungsanspruch&quot; - Alice Weidel, Kanzlerkandidatin AfD im #ntv Frühstart",ntv Nachrichten,2024-12-05T09:45:20Z
CfwLDkkXj50,AfD - ALTERNATIVA por ALEMANIA (Sus propuestas),NOTICIAS ILUSTRADAS,2025-02-21T18:26:11Z
39pFNjtOpcA,So wurde die AFD groß? #afd #aliceweidel #bundestag,Ben {Ungeskriptet},2025-02-15T13:25:28Z
XRZqTtlXsm0,❌PUTIN ÜBER 🇺🇸USA - DEUTSCHLAND 🇩🇪 VERHÄLTNISS ❌ #afd #politik #putin #spd #chrupalla #bundestag,Rich Kids of Wall Street ,2025-02-05T13:05:48Z
ibho8cZ4I4Q,AfD Wahlsieg vorhergesagt #bundestag #politik #bundestagswahl2025 #afd,Finanzfuchs,2025-02-06T05:00:37Z
mTaw-zg_iPA,❌DAS MUSST DU SEHEN❌ #weidel #wagenknecht #tinochrupalla #björnhöcke #politik #afd #bundestag #spd,Rich Kids of Wall Street ,2025-01-07T16:35:46Z
6O1qTcUT-GY,Deutschland muss wieder auf Augenhöhe kommen! #trump  #afd,AfD-Fraktion Bundestag,2025-01-21T10:04:24Z
gk2R_zzKkvc,❌HAT DIETER BOHLEN RECHT ? ❌ #afd #dieterbohlen #politik #spd #chrupalla #bundestag #merz #scholz,Rich Kids of Wall Street ,2025-02-05T16:23:06Z
PmB4l5mBU7M,Tino Chrupalla zerlegt linke Hetzerin in Einzelteile #tinochrupalla #afd,Red Scorpion,2024-12-26T14:31:45Z
ObqMJ5byRc0,Die linksgrüne Elite will die Erziehungsdiktatur! #ampel #eliten #afd,AfD-Fraktion Bundestag,2024-12-09T10:15:22Z
btTgIjSAGlM,AfD-Chefin Alice Weidel gesteht einen großen Fehler | BILD Wahl-Total Wahllokal,BILD,2025-02-17T10:30:15Z
