videoId,publishedAt,period,viewCount,likeCount,commentCount
jLxbWSVEFlQ,2024-10-10 14:53:10+00:00,After Founding,36529,2252,600
wiTQOYsS30w,2024-10-09 18:46:20+00:00,After Founding,39594,2558,438
VAOXLG5fkBc,2024-10-08 14:15:05+00:00,After Founding,218212,9046,2788
EGcxyXW5MoY,2024-10-04 09:43:53+00:00,After Founding,56759,5706,3314
YcysDmbOWyw,2024-09-26 17:14:34+00:00,After Founding,201453,12277,4520
gh_SuGA1Zho,2024-09-24 14:14:23+00:00,After Founding,74843,4832,1417
BKoDtddDvkw,2024-09-24 12:17:22+00:00,After Founding,239031,13058,1117
YZ-mbNLhuT4,2024-09-19 16:46:01+00:00,After Founding,53418,4515,2025
LuxjeQn61Co,2024-09-17 12:13:21+00:00,After Founding,283430,12866,598
n7G-vtBSzn4,2024-09-12 07:03:43+00:00,After Founding,106371,7547,718
LdQso-7-4NE,2024-09-11 12:41:39+00:00,After Founding,162683,11478,4592
BF6rBx5f0zc,2024-09-09 13:21:09+00:00,After Founding,70821,4587,1262
rDbkINYYxCQ,2024-09-09 09:38:40+00:00,After Founding,64665,4942,606
2N7LHX5dmwE,2024-08-30 16:15:40+00:00,After Founding,71064,4367,447
YGCbSY4yh1I,2024-08-30 10:25:16+00:00,After Founding,82169,5804,482
_x7oW-JUSUA,2024-08-29 15:13:33+00:00,After Founding,58741,2947,1321
-lXMP0RUy5A,2024-08-28 14:00:00+00:00,After Founding,589699,40755,9122
JDry9sHfBU0,2024-08-28 11:20:40+00:00,After Founding,110077,6727,641
hhRZvfeXo-E,2024-08-24 16:10:33+00:00,After Founding,1085789,46111,2212
4dlBvGH6tkM,2024-07-31 15:39:16+00:00,After Founding,150911,5720,1822
plboC-GS-Ww,2024-07-24 10:47:41+00:00,After Founding,84759,3710,657
OhxOQWOw_fE,2024-07-13 05:35:17+00:00,After Founding,150980,9041,7422
v3YPYiLNE9c,2024-07-05 18:58:29+00:00,After Founding,949890,56380,3266
K2HOYgo_0UQ,2024-07-04 09:04:14+00:00,After Founding,232174,7798,2048
GUhLwqgSUXg,2024-06-26 14:29:07+00:00,After Founding,199429,15870,6100
yCDCvXEJ5kg,2024-06-25 14:40:22+00:00,After Founding,322237,18183,3545
w1o7FZ-lIIQ,2024-06-19 16:35:34+00:00,After Founding,174864,7963,1051
zWWQVeZQHXA,2024-06-13 12:04:45+00:00,After Founding,141200,11128,2178
4rnLAo8FWxk,2024-06-11 17:28:20+00:00,After Founding,319360,22634,7803
DhJt8ptkBS0,2024-06-06 12:46:58+00:00,After Founding,305076,20629,3333
29qi5DOsmsQ,2024-06-05 16:01:06+00:00,After Founding,200961,9909,2988
Ql7FFr54A7M,2024-06-04 14:09:08+00:00,After Founding,294909,17175,4213
UkO2fJUbres,2024-05-30 14:01:05+00:00,After Founding,443431,19182,2675
8bbfJl862cs,2024-05-29 14:29:19+00:00,After Founding,514417,24174,584
SAGFQye1hT0,2024-05-27 15:40:56+00:00,After Founding,695768,27097,4117
qh8xUmT2NyI,2024-05-24 07:23:40+00:00,After Founding,1256939,78014,4076
kp1S43yxpXw,2024-05-23 14:05:56+00:00,After Founding,360265,28556,6167
0MyB1KbzovI,2024-05-22 15:01:25+00:00,After Founding,48332,4825,465
lw_WCcWmZYQ,2024-05-16 12:58:43+00:00,After Founding,98027,8576,1509
l6NQ6dNT0Hk,2024-05-15 06:48:59+00:00,After Founding,59833,5392,1354
a6y67L8XX64,2024-05-14 14:39:58+00:00,After Founding,496708,16696,2616
jgmOuiAJASk,2024-05-12 05:18:16+00:00,After Founding,63777,6846,786
gSFVSLZTYvU,2024-05-11 07:21:08+00:00,After Founding,40481,2885,188
bGNp5K8y_j8,2024-05-09 11:03:04+00:00,After Founding,411485,27402,2273
CJxNtxYcfEw,2024-05-07 18:53:13+00:00,After Founding,168433,14006,4016
C67mKjQTe8s,2024-04-24 14:35:48+00:00,After Founding,65785,5002,3080
dWs1I4LNIeE,2024-04-24 11:33:53+00:00,After Founding,113313,5460,721
f5vmf3KoJ7o,2024-04-23 14:14:45+00:00,After Founding,100646,6730,1209
xxMllVtVZ_o,2024-04-12 13:23:47+00:00,After Founding,177096,15402,3496
bHius0x9mtw,2024-04-09 14:47:29+00:00,After Founding,142372,8826,1868
1ZReSYUx-ng,2024-03-20 17:07:11+00:00,After Founding,334035,21961,7678
GhJpgQbmo_A,2024-03-19 15:04:51+00:00,After Founding,352839,19475,3123
VVXrNSpEwJQ,2024-03-14 12:06:31+00:00,After Founding,641711,42535,7346
cGVFQiDCxto,2024-03-12 15:23:35+00:00,After Founding,66632,5515,721
qRZhjFyhSQI,2024-02-21 18:30:45+00:00,After Founding,205426,16044,4982
6XbaeGuzpJ8,2024-02-20 15:10:39+00:00,After Founding,82501,5624,1032
1VK0jX-64qo,2024-02-14 16:42:55+00:00,After Founding,174457,9362,2387
LkbVw4fanIg,2024-01-31 17:01:26+00:00,After Founding,215527,14484,3316
dzU5AoHMDu8,2024-01-27 20:14:49+00:00,After Founding,117287,8772,2833
ZfDr1wAzlsE,2024-01-27 20:09:42+00:00,After Founding,69511,4075,48
fgyKnm4wBFE,2024-01-10 07:44:28+00:00,After Founding,98678,5165,5637
dLDYrpiuPcM,2024-01-08 16:30:17+00:00,After Founding,136797,8686,0
3rc4LRur7LA,2023-12-20 13:03:07+00:00,Before Founding,326695,17726,5509
A5AEU5wxDPo,2023-12-15 11:41:05+00:00,Before Founding,341932,21992,3763
b9PGwmmYgv4,2023-12-13 10:11:57+00:00,Before Founding,86633,6403,1734
qe5T8EXybf0,2023-11-30 19:34:42+00:00,Before Founding,260429,15651,3893
OIh05OgR-uk,2023-11-29 13:56:38+00:00,Before Founding,69488,7016,1951
rP2k4WzZybI,2023-11-28 11:32:20+00:00,Before Founding,758572,49830,2145
VVF4offVCME,2023-11-23 15:50:39+00:00,Before Founding,70743,6188,453
IUmwYk8JZSE,2023-11-16 19:20:57+00:00,Before Founding,206475,14420,5086
ys9mgY1oUHc,2023-11-09 18:54:14+00:00,Before Founding,213272,12916,4268
AWGTPkLx0WM,2023-11-09 16:41:57+00:00,Before Founding,584899,32682,1269
4iXdEnrvGvo,2023-10-24 18:01:31+00:00,Before Founding,88638,4885,2314
Q3xfPEnPNc0,2023-10-23 23:10:12+00:00,Before Founding,157065,9529,1956
